You are now connected to database "nc_news_test" as user "user".
 article_id |                         title                          | topic |    author     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                body                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |     created_at      | votes |                                            article_img_url                                            | comment_id |                                                                                         body                                                                                         | article_id |    author     | votes |     created_at      
------------+--------------------------------------------------------+-------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+-------+-------------------------------------------------------------------------------------------------------+------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-------+---------------------
          9 | They're not exactly dogs, are they?                    | mitch | butter_bridge | Well? Think about it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2020-06-06 10:10:00 |     0 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          1 | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!                                                                                                    |          9 | butter_bridge |    16 | 2020-04-06 13:17:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          2 | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.                                                   |          1 | butter_bridge |    14 | 2020-10-31 03:03:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          3 | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works. |          1 | icellusedkars |   100 | 2020-03-01 01:13:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          4 |  I carry a log — yes. Is it funny to you? It is not to me.                                                                                                                           |          1 | icellusedkars |  -100 | 2020-02-23 12:01:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          5 | I hate streaming noses                                                                                                                                                               |          1 | icellusedkars |     0 | 2020-11-03 21:00:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          6 | I hate streaming eyes even more                                                                                                                                                      |          1 | icellusedkars |     0 | 2020-04-11 22:02:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          7 | Lobster pot                                                                                                                                                                          |          1 | icellusedkars |     0 | 2020-05-15 21:19:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          8 | Delicious crackerbreads                                                                                                                                                              |          1 | icellusedkars |     0 | 2020-04-14 21:19:00
          1 | Living in the shadow of a great man                    | mitch | butter_bridge | I find this existence challenging                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2020-07-09 21:11:00 |   100 | https://images.pexels.com/photos/158651/news-newsletter-newspaper-information-158651.jpeg?w=700&h=700 |          9 | Superficially charming                                                                                                                                                               |          1 | icellusedkars |     0 | 2020-01-01 03:08:00
